Comment,Time Stamp (sec),Temperature (K),Mag. Field (Oe),Pressure (Torr),Temp. Status (code),Mag Field Status (code),Chamber Status (code),Wavelength (nM),Track A raw (a.u.),Track A raw + off (a.u.),Track A mod (a.u.),Track A mod + off (a.u.),Track B raw (a.u.),Track B raw + off (a.u.),Track B mod (a.u.),Track B mod + off (a.u.),Track A+B raw (a.u.),Track A+B raw + off (a.u.),Track A+B mod (a.u.),Track A+B mod + off (a.u.),Raman Shift (cm-1),Plot number,Exposure (sec),Num Exposures,Cycle (sec),Grating,Rayleigh Wavelength (nM),Laser Power (mW),QMap1,QMap2,QMap3,QMap4,QMap5,QMap6,QMap7,QMap8,QMap9,QMap10,QMap11,QMap12,QMap13,QMap14,QMap15,QMap16
,3791213629.80353000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,288.1,12116,12116,188,188,13278,13278,21342,21342,25394,25394,20243,20243,-15917.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80354000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,288.3,12038,12038,110,110,13140,13140,21430,21430,25178,25178,20346,20346,-15887.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80355000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,288.6,12085,12085,157,157,13126,13126,21644,21644,25211,25211,20700,20700,-15858.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80356000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,288.8,12057,12057,129,129,13241,13241,21990,21990,25298,25298,21109,21109,-15828.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80357000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,289.0,12053,12053,125,125,13137,13137,22118,22118,25190,25190,21325,21325,-15799.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80358000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,289.3,12025,12025,97,97,13319,13319,22535,22535,25344,25344,21804,21804,-15770.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80359000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,289.5,12094,12094,166,166,13136,13136,22589,22589,25230,25230,22017,22017,-15741.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80360000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,289.8,12055,12055,127,127,13214,13214,22906,22906,25269,25269,22384,22384,-15712.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80361000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,290.0,12052,12052,125,125,13284,13284,23218,23218,25336,25336,22781,22781,-15682.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80362000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,290.3,12083,12083,156,156,13222,13222,23400,23400,25305,25305,23081,23081,-15653.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80363000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,290.5,11995,11995,68,68,13223,13223,23647,23647,25218,25218,23326,23326,-15624.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80364000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,290.8,12031,12031,104,104,13099,13099,23771,23771,25130,25130,23572,23572,-15595.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80365000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,291.0,12020,12020,93,93,13193,13193,24116,24116,25213,25213,23991,23991,-15567.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80366000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,291.2,12035,12035,108,108,13221,13221,24397,24397,25256,25256,24371,24371,-15538.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80367000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,291.5,12094,12094,167,167,13178,13178,24609,24609,25272,25272,24725,24725,-15509.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80368000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,291.7,12006,12006,79,79,13227,13227,24915,24915,25233,25233,25026,25026,-15480.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80369000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,292.0,12053,12053,126,126,13164,13164,25111,25111,25217,25217,25351,25351,-15451.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80370000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,292.2,12064,12064,137,137,13210,13210,25419,25419,25274,25274,25751,25751,-15423.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80371000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,292.5,12052,12052,125,125,13176,13176,25649,25649,25228,25228,26049,26049,-15394.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80372000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,292.7,12085,12085,158,158,13305,13305,26045,26045,25390,25390,26557,26557,-15366.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80373000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,293.0,12068,12068,141,141,13213,13213,26221,26221,25281,25281,26795,26795,-15337.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80374000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,293.2,12132,12132,205,205,13129,13129,26408,26408,25261,25261,27124,27124,-15309.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80375000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,293.4,12131,12131,204,204,13275,13275,26827,26827,25406,25406,27619,27619,-15280.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80376000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,293.7,12019,12019,92,92,13297,13297,27124,27124,25316,25316,27880,27880,-15252.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80377000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,293.9,12016,12016,89,89,13230,13230,27335,27335,25246,25246,28163,28163,-15223.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80378000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,294.2,12074,12074,147,147,13249,13249,27634,27634,25323,25323,28595,28595,-15195.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80379000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,294.4,12087,12087,160,160,13224,13224,27891,27891,25311,25311,28939,28939,-15167.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80380000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,294.7,11998,11998,71,71,13234,13234,28185,28185,25232,25232,29217,29217,-15139.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80381000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,294.9,12034,12034,107,107,13234,13234,28471,28471,25268,25268,29612,29612,-15111.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80382000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,295.2,12028,12028,101,101,13245,13245,28771,28771,25273,25273,29977,29977,-15082.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80383000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,295.4,12114,12114,187,187,13153,13153,28970,28970,25267,25267,30333,30333,-15054.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80384000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,295.6,12066,12066,140,140,13224,13224,29335,29335,25290,25290,30719,30719,-15026.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80385000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,295.9,11982,11982,56,56,13392,13392,29798,29798,25374,25374,31168,31168,-14998.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80386000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,296.1,12064,12064,138,138,13310,13310,30014,30014,25374,25374,31534,31534,-14971.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80387000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,296.4,12088,12088,162,162,13295,13295,30299,30299,25383,25383,31911,31911,-14943.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80388000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,296.6,12049,12049,123,123,13271,13271,30577,30577,25320,25320,32217,32217,-14915.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80389000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,296.9,12060,12060,134,134,13279,13279,30890,30890,25339,25339,32606,32606,-14887.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80390000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,297.1,12074,12074,148,148,13328,13328,31246,31246,25402,25402,33041,33041,-14859.8,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80391000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,297.4,12054,12054,128,128,13232,13232,31459,31459,25286,25286,33299,33299,-14832.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80392000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,297.6,12052,12052,126,126,13271,13271,31809,31809,25323,25323,33711,33711,-14804.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80393000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,297.9,12008,12008,82,82,13288,13288,32139,32139,25296,25296,34060,34060,-14776.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80394000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,298.1,12017,12017,91,91,13364,13364,32531,32531,25381,25381,34523,34523,-14749.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80395000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,298.3,12048,12048,122,122,13267,13267,32752,32752,25315,25315,34837,34837,-14721.8,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80396000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,298.6,12056,12056,130,130,13301,13301,33107,33107,25357,25357,35259,35259,-14694.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80397000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,298.8,12037,12037,111,111,13287,13287,33415,33415,25324,25324,35609,35609,-14667.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80398000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,299.1,12039,12039,113,113,13289,13289,33742,33742,25328,25328,35996,35996,-14639.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80399000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,299.3,12081,12081,155,155,13224,13224,34004,34004,25305,25305,36359,36359,-14612.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80400000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,299.6,12115,12115,189,189,13248,13248,34357,34357,25363,25363,36803,36803,-14585.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80401000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,299.8,12107,12107,181,181,13302,13302,34743,34743,25409,25409,37238,37238,-14557.8,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80402000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,300.1,12096,12096,170,170,13272,13272,35047,35047,25368,25368,37586,37586,-14530.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80403000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,300.3,12023,12023,97,97,13349,13349,35460,35460,25372,25372,37981,37981,-14503.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80404000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,300.5,12099,12099,173,173,13316,13316,35697,35697,25415,25415,38336,38336,-14476.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80405000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,300.8,12049,12049,123,123,13265,13265,35920,35920,25314,25314,38552,38552,-14449.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80406000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,301.0,12099,12099,174,174,13265,13265,36200,36200,25364,25364,38924,38924,-14422.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80407000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,301.3,12143,12143,218,218,13369,13369,36588,36588,25512,25512,39399,39399,-14395.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80408000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,301.5,12062,12062,137,137,13394,13394,36903,36903,25456,25456,39674,39674,-14368.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80409000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,301.8,12120,12120,195,195,13207,13207,37011,37011,25327,25327,39882,39882,-14341.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80410000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,302.0,12114,12114,189,189,13311,13311,37414,37414,25425,25425,40321,40321,-14314.7,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80411000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,302.3,12074,12074,149,149,13342,13342,37750,37750,25416,25416,40659,40659,-14287.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80412000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,302.5,12098,12098,173,173,13355,13355,38073,38073,25453,25453,41047,41047,-14261.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80413000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,302.7,12062,12062,137,137,13367,13367,38399,38399,25429,25429,41379,41379,-14234.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80414000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,303.0,12074,12074,149,149,13374,13374,38726,38726,25448,25448,41760,41760,-14207.7,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80415000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,303.2,12069,12069,144,144,13327,13327,39003,39003,25396,25396,42074,42074,-14181.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80416000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,303.5,12153,12153,228,228,13389,13389,39395,39395,25542,25542,42591,42591,-14154.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80417000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,303.7,12061,12061,136,136,13398,13398,39739,39739,25459,25459,42884,42884,-14128.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80418000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,304.0,12070,12070,145,145,13484,13484,40164,40164,25554,25554,43360,43360,-14101.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80419000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,304.2,12036,12036,111,111,13465,13465,40490,40490,25501,25501,43693,43693,-14075.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80420000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,304.5,12113,12113,188,188,13393,13393,40768,40768,25506,25506,44089,44089,-14048.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80421000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,304.7,11995,11995,70,70,13443,13443,41172,41172,25438,25438,44417,44417,-14022.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80422000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,304.9,12072,12072,147,147,13342,13342,41431,41431,25414,25414,44794,44794,-13995.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80423000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,305.2,12074,12074,149,149,13367,13367,41821,41821,25441,25441,45227,45227,-13969.7,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80424000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,305.4,12102,12102,177,177,13443,13443,42266,42266,25545,25545,45742,45742,-13943.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80425000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,305.7,12114,12114,189,189,13347,13347,42545,42545,25461,25461,46074,46074,-13917.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80426000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,305.9,12054,12054,129,129,13587,13587,43165,43165,25641,25641,46675,46675,-13891.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80427000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,306.2,12112,12112,187,187,13321,13321,43284,43284,25433,25433,46893,46893,-13864.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80428000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,306.4,12080,12080,155,155,13394,13394,43747,43747,25474,25474,47365,47365,-13838.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80429000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,306.7,12017,12017,92,92,13328,13328,44076,44076,25345,25345,47672,47672,-13812.8,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80430000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,306.9,12080,12080,155,155,13488,13488,44636,44636,25568,25568,48336,48336,-13786.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80431000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,307.1,12048,12048,123,123,13346,13346,44899,44899,25394,25394,48608,48608,-13760.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80432000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,307.4,12052,12052,127,127,13471,13471,45434,45434,25523,25523,49188,49188,-13735.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80433000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,307.6,12091,12091,166,166,13549,13549,45927,45927,25640,25640,49760,49760,-13709.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80434000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,307.9,12086,12086,161,161,13444,13444,46242,46242,25530,25530,50111,50111,-13683.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80435000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,308.1,12051,12051,126,126,13568,13568,46791,46791,25619,25619,50666,50666,-13657.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80436000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,308.4,12026,12026,101,101,13585,13585,47238,47238,25611,25611,51129,51129,-13631.8,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80437000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,308.6,12095,12095,170,170,13493,13493,47581,47581,25588,25588,51582,51582,-13606.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80438000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,308.9,12045,12045,120,120,13441,13441,47970,47970,25486,25486,51960,51960,-13580.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80439000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,309.1,12086,12086,161,161,13573,13573,48547,48547,25659,25659,52619,52619,-13554.8,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80440000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,309.3,12118,12118,193,193,13405,13405,48829,48829,25523,25523,52974,52974,-13529.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80441000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,309.6,12102,12102,177,177,13530,13530,49409,49409,25632,25632,53578,53578,-13503.7,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80442000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,309.8,12087,12087,162,162,13427,13427,49767,49767,25514,25514,53961,53961,-13478.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80443000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,310.1,12054,12054,129,129,13462,13462,50267,50267,25516,25516,54463,54463,-13452.7,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80444000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,310.3,12064,12064,139,139,13482,13482,50757,50757,25546,25546,54993,54993,-13427.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80445000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,310.6,12019,12019,94,94,13588,13588,51339,51339,25607,25607,55554,55554,-13401.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80446000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,310.8,12081,12081,156,156,13518,13518,51749,51749,25599,25599,56046,56046,-13376.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80447000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,311.1,12067,12067,142,142,13493,13493,52210,52210,25560,25560,56507,56507,-13351.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80448000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,311.3,12106,12106,181,181,13554,13554,52761,52761,25660,25660,57107,57107,-13326.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80449000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,311.5,12111,12111,186,186,13506,13506,53209,53209,25617,25617,57564,57564,-13300.8,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80450000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,311.8,12076,12076,151,151,13470,13470,53673,53673,25546,25546,57993,57993,-13275.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80451000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,312.0,12090,12090,165,165,13560,13560,54269,54269,25650,25650,58597,58597,-13250.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80452000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,312.3,12078,12078,153,153,13468,13468,54681,54681,25546,25546,58993,58993,-13225.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80453000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,312.5,12140,12140,215,215,13487,13487,55205,55205,25627,25627,59574,59574,-13200.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80454000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,312.8,12103,12103,178,178,13539,13539,55762,55762,25642,25642,60089,60089,-13175.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80455000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,313.0,12140,12140,215,215,13530,13530,56257,56257,25670,25670,60617,60617,-13150.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80456000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,313.3,12076,12076,151,151,13435,13435,56667,56667,25511,25511,60958,60958,-13125.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80457000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,313.5,12094,12094,169,169,13479,13479,57216,57216,25573,25573,61520,61520,-13100.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80458000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,313.7,12024,12024,99,99,13385,13385,57627,57627,25409,25409,61856,61856,-13075.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80459000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,314.0,12035,12035,110,110,13496,13496,58243,58243,25531,25531,62478,62478,-13050.7,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80460000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,314.2,12091,12091,166,166,13509,13509,58760,58760,25600,25600,63047,63047,-13025.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80461000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,314.5,12104,12104,178,178,13584,13584,59340,59340,25688,25688,63635,63635,-13001.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80462000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,314.7,12057,12057,131,131,13524,13524,59785,59785,25581,25581,64029,64029,-12976.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80463000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,315.0,12087,12087,161,161,13599,13599,60365,60365,25686,25686,64634,64634,-12951.8,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80464000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,315.2,12098,12098,172,172,13524,13524,60795,60795,25622,25622,65070,65070,-12927.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80465000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,315.5,12022,12022,96,96,13458,13458,61233,61233,25480,25480,65428,65428,-12902.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80466000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,315.7,12099,12099,173,173,13528,13528,61808,61808,25627,25627,66075,66075,-12878.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80467000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,316.0,12102,12102,175,175,13573,13573,62358,62358,25675,25675,66623,66623,-12853.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80468000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,316.2,12063,12063,136,136,13523,13523,62813,62813,25586,25586,67034,67034,-12829.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80469000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,316.4,12098,12098,171,171,13516,13516,63311,63311,25614,25614,67563,67563,-12804.5,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80470000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,316.7,12041,12041,114,114,13491,13491,63791,63791,25532,25532,67981,67981,-12780.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80471000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,316.9,12078,12078,151,151,13549,13549,64353,64353,25627,25627,68576,68576,-12755.8,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
