Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 34 mm,3792809008.889,55.1065330505371,-0.0996374413371086,-5.6288294678797E-7,3.54941268497806E-7,1,4.99626677034896,40.0298881530762,2.00056410963929,15.7200004905462,-3.01691798960113E-6,-7.95232425144352E-7,0.25,-2.05577554363023E-8,-5.4866155055428E-7,-4.36767381715049E-8,55.1065330505371,55.1065330505371,-0.0996374413371086,-0.0996374413371086,57.3957637956407,20.3506435351293,9.89999989542412E-6,0,0,0,200,53.9534187316895,1,4,14,2.2332763671875,37.1456527709961,,,,,,,,,,,,,,,,
,3792809020.6035,55.0966529846191,1.42931443452835,-3.63604977647731E-7,8.64761361408386E-7,1,4.99626677034896,40.0298881530762,2.00045353251564,15.7200004905462,-2.16808095074695E-6,4.6175182227938E-7,0.25,1.6722833846421E-7,-3.61984193910811E-7,1.4800563562211E-7,55.0966529846191,55.0966529846191,1.07612192630768,1.78250694274902,57.4676736194099,20.3502833143052,9.89999989542412E-6,0,0,0,200,53.9669914245605,1,6,14,2.24029541015625,38.6119270324707,,,,,,,,,,,,,,,,
,3792809022.2915,55.095682144165,9.78510665893555,-3.07965340717839E-7,3.73178448223179E-6,1,4.99626677034896,40.0298881530762,2.00039460479241,15.7200004905462,-1.20870248887364E-6,-2.3991835719527E-6,0.25,-3.74731789921996E-7,-2.84933202074232E-7,-3.78749665042454E-7,55.0966529846191,55.0966529846191,1.78250694274902,17.7877063751221,57.3957637956407,20.3501118059824,9.89999989542412E-6,0,0,0,200,53.9698867797852,1,6,14,2.23434448242187,39.1006851196289,,,,,,,,,,,,,,,,
,3792809026.355,55.092700958252,29.9960870742798,-3.21815815665926E-7,1.49471552995115E-6,1,4.99626677034896,40.0298881530762,2.000470499923,15.7200004905462,-1.43800995831441E-6,-1.72950131594205E-6,0.25,-2.47673101627493E-7,-3.03783023536298E-7,-2.55289138281471E-7,55.0947113037109,55.0947113037109,17.7877063751221,42.2044677734375,57.8530164793907,20.3520058022944,9.89999989542412E-6,0,0,0,200,53.9762687683105,1,6,14,2.23281860351562,39.5894432067871,,,,,,,,,,,,,,,,
,3792809031.2985,55.0888786315918,54.3640480041504,-4.37049824509176E-8,1.26079822540209E-7,1,4.99626677034896,40.0298881530762,2.00049783271238,15.7200004905462,-6.28766209402646E-7,1.6924050243426E-6,0.25,3.23015235546597E-7,-5.6216315842755E-8,3.13508416341199E-7,55.090690612793,55.090690612793,42.2044677734375,66.5236282348633,57.4285921934484,20.3533013272714,9.89999989542412E-6,0,0,0,200,53.9815940856934,1,6,14,2.23403930664062,40.0782012939453,,,,,,,,,,,,,,,,
,3792809036.37,55.0853328704834,79.6823768615723,8.15413284834486E-8,4.42041878231828E-5,1,4.99626677034896,40.0298881530762,2.00048852401023,15.7200004905462,2.85840831483794E-7,7.87333240815785E-7,0.25,1.27360022441621E-7,7.42614992536501E-8,1.27754633960392E-7,55.0870666503906,55.0870666503906,66.5236282348633,92.8411254882813,57.3433946848522,20.3543397732843,9.89999989542412E-6,0,0,0,200,53.9882507324219,1,6,14,2.23114013671875,40.5669593811035,,,,,,,,,,,,,,,,
,3792809041.424,55.0817737579346,105.075061798096,2.80562374273745E-7,6.34190374068189E-7,1,4.99626677034896,40.0298881530762,2.00039015429105,15.7200004905462,1.61024141190931E-6,-7.79098343415765E-8,0.25,-7.75211323476946E-8,2.7714782535604E-7,-6.39098055900818E-8,55.0835990905762,55.0835990905762,92.8411254882813,117.30899810791,57.7131049744484,20.3560314834859,9.89999989542412E-6,0,0,0,200,53.9926528930664,1,6,14,2.22702026367187,40.5669593811035,,,,,,,,,,,,,,,,
,3792809046.321,55.0782413482666,129.482524871826,7.68846638888357E-7,1.02778843710714E-6,1,4.99626677034896,40.0298881530762,2.00042860364424,15.7299991697073,3.77349029964004E-6,2.62866310850186E-6,0.25,3.13537424855618E-7,7.37423150642828E-7,3.38339725409929E-7,55.079948425293,55.079948425293,117.30899810791,141.656051635742,57.6380686366023,20.3553188031349,9.89999989542412E-6,0,0,0,200,53.9993591308594,1,6,14,2.24014282226562,41.055721282959,,,,,,,,,,,,,,,,
,3792809051.29,55.0747871398926,154.150238037109,4.89378181176698E-7,5.47724039027981E-7,1,4.99626677034896,40.0298881530762,2.00037655082351,15.7200004905462,2.92381496357205E-6,-6.47816295560477E-7,0.25,-2.29958730060896E-7,4.8739462865358E-7,-2.03963771974919E-7,55.0765342712402,55.0765342712402,141.656051635742,166.644424438477,57.7091968318523,20.3563162610819,9.89999989542412E-6,0,0,0,200,54.0041122436523,1,6,14,2.23663330078125,41.5444793701172,,,,,,,,,,,,,,,,
,3792809056.321,55.0715045928955,179.157203674316,1.57971814781163E-6,6.74686025585148E-7,1,4.99626677034896,40.0298881530762,2.00032408134354,15.7200004905462,8.75957920201334E-6,9.24540479829566E-7,0.25,-1.84201348389005E-7,1.54989942077201E-6,-1.13551896835576E-7,55.0730400085449,55.0730400085449,166.644424438477,191.669982910156,58.1406557744677,20.3546704823108,9.89999989542412E-6,0,0,0,200,54.0101890563965,1,6,14,2.22702026367187,42.0332374572754,,,,,,,,,,,,,,,,
